user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 12:35,2020-10-10 14:00,EPKT,EDDF,,,DLH5HT,CRJ9,DACNA,,V178,,
,2020-10-10 03:00,2020-10-10 14:01,RKSI,EDDF,NOPIK G597 ANSIM Y697 NOGON DCT CHG A575 ASILA B339 POLHO A310 SERNA A815 TANAK B718 BARIK G490 PTG R809 TARSA G719 LAGNI B946 BILMI G375 LKN G722 KUMEN A714 KOMEK DCT KOLJA N746 GORPI Z80 TILAV L87 PESEL DCT KOSIX DCT NIMAB T171 LASTO T178 KERAX,,AAR541,A388,HL7626,,B46,,
,2020-10-10 12:30,2020-10-10 14:01,EGLL,EDDF,DET L6 DVR UL9 KONAN UL607 SPI T180 RASVO/F230 T180 UNOKO,,DLH1U,A20N,DAINO,,B24,,
,2020-10-10 12:00,2020-10-10 14:03,LYBE,EDDF,TISAK L610 TONDO DCT ARSIN DCT SUBEN T161 SPESA,,DLH6MA,A320,DAIUJ,,V113,,
,2020-10-10 05:05,2020-10-10 14:03,VOHS,EDDF,,,GEC8373,MD11,DALCN,,F212,,
,2020-10-10 11:15,2020-10-10 14:04,LEZL,EDDF,,,DLH85M,A320,DAIUI,,B20,,
,2020-10-10 12:55,2020-10-10 14:06,LSGG,EDDF,MOLUS UN871 DITON T163 EMPAX,,SWR104E,BCS3,HBJCH,,V160,,
,2020-10-10 12:50,2020-10-10 14:06,LFLL,EDDF,,,DLH37Y,A321,DAIDJ,,A34,,
,2020-10-10 10:55,2020-10-10 14:07,LTFM,EDDF,,,DLH1299,A320,DAIUE,,A50,,
,2020-10-10 02:25,2020-10-10 14:08,RJAA,EDDF,,,JAL407,B789,JA867J,,D5,,
,2020-10-10 12:40,2020-10-10 14:08,LIPE,EDDF,,,DLH3EP,A320,DAIZZ,,A40,,
,2020-10-10 12:35,2020-10-10 14:09,LIRQ,EDDF,,,DLA15JS,E195,IADJV,,V162,,
,2020-10-10 08:25,2020-10-10 14:10,OERK,EDDF,,,SVA929,B744,TCACM,,S504,,
,2020-10-10 12:25,2020-10-10 14:11,ESGG,EDDF,,,DLH5KY,A320,DAIUG,,A25,,
,2020-10-10 12:45,2020-10-10 14:13,EGLL,EDDF,DET L6 DVR UL9 KONAN UL607 SPI T180 RASVO/F230 T180 UNOKO,,BAW908N,A20N,GTTNH,,V117,,
,2020-10-10 09:50,2020-10-10 14:14,GCTS,EDDF,,,RYR63AV,B738,EIGXG,,V107,,
,2020-10-10 13:00,2020-10-10 14:14,EDDM,EDDF,GIVMI Y101 ERNAS T161 SPESA,,DLH111,A321,DAIRM,,A30,,
,2020-10-10 11:45,2020-10-10 14:15,LEMD,EDDF,RBO UN867 DGO UL176 CNA UN858 BOKNO DCT DIBES DCT TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,DLH56C,A321,DAISR,,A19,,
,2020-10-10 12:28,2020-10-10 14:17,LEBB,EDDF,,,DLH41J,A20N,DAINT,,A20,,
,2020-10-10 12:50,2020-10-10 14:17,EPPO,EDDF,ERNOX P861 LATAG T174 KORUP DCT TADUV T178 KERAX,,DLH4YC,CRJ9,DACNB,,V172,,
,2020-10-10 13:24,2020-10-10 14:21,EDDW,EDDF,ERLAD Y804 PIROT T152 KERAX,,DLH357,CRJ9,DACKA,,V174,,
,2020-10-10 11:45,2020-10-10 14:23,LPPR,EDDF,,,DLH38H,A321,DAISV,,V111,,
,2020-10-10 13:35,2020-10-10 14:25,LSZH,EDDF,DEGES Z1 SUDEN T164 KOVAN T163 SPESA,,SWR1074,E190,HBJVL,,A36,,
,2020-10-10 12:10,2020-10-10 14:26,LEPA,EDDF,MEROS UN853 VANAS DCT ESOKO DCT GODRA DCT DITON T163 EMPAX,,RYR5WW,B738,EIDYO,,V108,,
,2020-10-10 12:15,2020-10-10 14:27,LEST,EDDF,,,DLH1111,A321,DAISB,,A17,,
,2020-10-10 02:55,2020-10-10 14:28,SBGR,EDDF,,,TAM8070,B77W,PTMUC,,B48,,
,2020-10-10 12:55,2020-10-10 14:29,LDSP,EDDF,,,CTN412,A320,9ACTK,,V158,,
,2020-10-10 12:55,2020-10-10 14:30,LHBP,EDDF,GILEP DCT ZOLKU/F360 DCT ARSIN DCT SUBEN T161 SPESA,,WZZ2KH,A21N,HALVC,,C14,,
,2020-10-10 11:15,2020-10-10 14:31,LTFJ,EDDF,,,PGT1FW,B738,TCAZP,,V112,,
,2020-10-10 13:10,2020-10-10 14:33,LFPG,EDDF,RANUX UN858 BETEX Z110 RASVO T180 UNOKO,,AFR32ZC,E190,FHBLM,,V116,,
,2020-10-10 13:10,2020-10-10 14:34,LIMC,EDDF,ABESI N851 ROLSA Z162 ZUE T163 EMPAX,,DLH6NF,CRJ9,DACND,,V176,,
,2020-10-10 07:40,2020-10-10 14:35,OMDW,EDDF,,,UAE9933,B77L,A6EFG,,S603,,
,2020-10-10 12:35,2020-10-10 14:35,ESSA,EDDF,NOSLI N850 BAGOS DCT RIMET/F220 T157 KERAX,,SAS61Z,A20N,SERON,,A14,,
,2020-10-10 06:45,2020-10-10 14:37,KORD,EDDF,,,GEC8189,MD11,DALCD,,F213,,
,2020-10-10 11:27,2020-10-10 14:37,LPPT,EDDF,IXIDA DCT RIVRO DCT TOSDI UN745 ZMR UN873 OBATO UM163 TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,DLH71A,A321,DAIDL,,C13,,
,2020-10-10 12:50,2020-10-10 14:39,LHBP,EDDF,GILEP DCT ZOLKU/F360 DCT ARSIN DCT SUBEN T161 SPESA,,DLH4UT,A321,DAIRR,,A15,,
,2020-10-10 13:20,2020-10-10 14:40,EKCH,EDDF,,,DLH829,A319,DAILF,,V109,,
,2020-10-10 13:10,2020-10-10 14:40,LOWW,EDDF,LUGEM DCT SUBEN T161 SPESA,,AUA13A,A320,OELXC,,A28,,
,2020-10-10 03:55,2020-10-10 14:42,KPHX,EDDF,,,CFG027,B763,DABUC,,B44,,
,2020-10-10 12:50,2020-10-10 14:42,LFMN,EDDF,IRMAR UN853 MOLUS UN871 DITON T163 EMPAX,,DLH87E,A20N,DAINR,,A22,,
,2020-10-10 11:55,2020-10-10 14:44,LGAV,EDDF,KOR UL53 GARTA UV60 YNN UL604 DIMIS DCT RETRA DCT PODET DCT SIMBA DCT AKINI T161 SPESA,,DLH3FM,A320,DAIUB,,A1,,
,2020-10-10 13:45,2020-10-10 14:44,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,DLH2LC,A321,DAIRF,,B10,,
,2020-10-10 13:05,2020-10-10 14:46,EPWA,EDDF,SOXER N869 UVIVI DCT TOMTI DCT ASTEL DCT RAPET T170 GAPLA T178 KERAX,,DLH3VU,A319,DAILH,,V173,,
,2020-10-10 14:00,2020-10-10 14:47,EDDH,EDDF,IDEKO N850 PIROT T152 KERAX,,DLH8XY,A319,DAILL,,V143,,
,2020-10-10 13:50,2020-10-10 14:49,LFPG,EDDF,RANUX UN858 BETEX Z110 RASVO T180 UNOKO,,DLH7F,A319,DAIBI,,V110,,
,2020-10-10 03:45,2020-10-10 14:51,ZSPD,EDDF,,,CCA935,A359,B1081,,B23,,
