user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 14:00,2020-10-10 14:56,EDDF,EDDH,MARUN Y150 TOLGI DCT DLE P605 NOLGO,,DLH4EF,A321,DAIDI,,,,
,2020-10-10 14:00,2020-10-10 15:57,EDDF,LEPA,ANEKI Y163 HERBI Y164 OLBEN UN869 NEMOS DCT GVA DCT BALSI DCT VATIR UN852 VERSO UL129 LUNIK,,RYR8ZK,B738,EIDYX,,,,
,2020-10-10 14:00,2020-10-10 15:49,EDDF,LIRN,ANEKI Y163 NATOR N850 ODINA LAGEN L50 ELB M729 PNZ,,DLH7LK,A320,DAIWH,,,,
,2020-10-10 14:05,2020-10-10 15:24,EDDF,LIRQ,ANEKI Y163 NATOR N850 TRA ELMUR Q341 RESIA ATPED IDREK KREVA TIPNI LOMED,,DLH3XC,E190,DAECE,,,,
,2020-10-10 14:00,2020-10-10 16:35,EDDF,LEMD,SOBRA Y180 DIK UN857 NOLSA UN10 GARVU UN857 BANEV,,RYR27PC,B738,EIEBX,,,,
,2020-10-10 14:00,2020-10-10 15:53,EDDF,ESSB,MARUN Y150 TOLGI DCT MAKEL N851 TRS,,JET2,FA7X,SEDJL,,,,
,2020-10-10 14:00,2020-10-10 15:42,EDDF,EGLL,SOBRA Y180 BITBU Y181 DEMUL M624 BUB L608 COA L179 SASKI L608 LOGAN,,DLH2NE,A321,DAIRY,,,,
,2020-10-10 14:05,2020-10-10 15:58,EDDF,LEBL,ANEKI Y163 HERBI Y164 OLBEN UN869 NEMOS DCT GVA DCT BALSI UN852 DIVKO UN975 BISBA,,DLH97M,A321,DAISK,,,,
,2020-10-10 14:10,2020-10-10 15:28,EDDF,EGLC,SOBRA Y180 BITBU Y181 DEMUL M624 BUB L608 SUMUM,,DLH9WL,E190,DAECH,,,,
,2020-10-10 14:10,2020-10-10 15:16,EDDF,LIPZ,ANEKI Y163 NATOR N850 ODINA/F290 M727 SRN L615 ADOSA L612 ALBET,,DLH3LL,A320,DAIQD,,,,
,2020-10-10 14:05,2020-10-10 16:03,EDDF,ENGM,MARUN Y150 TOLGI DCT ALASA DCT INVOL DCT SABAK L997 LUNIP,,DLH4PK,A320,DAIWG,,,,
,2020-10-10 14:10,2020-10-10 15:13,EDDF,LSGG,ANEKI Y163 HERBI Y164 OLBEN UN869 BENOT,,DLH1YL,A319,DAIBD,,,,
,2020-10-10 14:05,2020-10-10 16:11,EDDF,ESSA,MARUN Y150 TOLGI DCT OKAGA Z330 VIBAR Z227 NILUG,,DLH804,A20N,DAINL,,,,
,2020-10-10 14:10,2020-10-10 18:01,EDDF,LLBG,CINDY Z74 LAMPU DCT NOMBO Y161 MAH L173 OTT M867 VAROB DCT NEMEK DCT MEDUX UM867 KOGAT DCT ERANA UL737 TSL UN130 MES UL609 ALKIS L609 ZUKKO,,GEC8340,MD11,DALCI,,,,
,2020-10-10 14:15,2020-10-10 15:46,EDDF,LHBP,SULUS UZ650 VEMUT DCT ABUDO Z205 BUDEX DCT MAREG DCT ANEXA,,DLH5AX,E190,DAECF,,,,
