"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 12:35","2020-10-10 14:00","EPKT","EDDF",,,"DLH5HT","CRJ9","DACNA",,,,
,"2020-10-10 03:00","2020-10-10 14:01","RKSI","EDDF",,,"AAR541","A388","HL7626",,,,
,"2020-10-10 12:30","2020-10-10 14:01","EGLL","EDDF",,,"DLH1U","A20N","DAINO",,,,
,"2020-10-10 12:00","2020-10-10 14:03","LYBE","EDDF",,,"DLH6MA","A320","DAIUJ",,,,
,"2020-10-10 05:05","2020-10-10 14:03","VOHS","EDDF",,,"GEC8373","MD11","DALCN",,,,
,"2020-10-10 11:15","2020-10-10 14:04","LEZL","EDDF",,,"DLH85M","A320","DAIUI",,,,
,"2020-10-10 12:55","2020-10-10 14:06","LSGG","EDDF",,,"SWR104E","BCS3","HBJCH",,,,
,"2020-10-10 12:50","2020-10-10 14:06","LFLL","EDDF",,,"DLH37Y","A321","DAIDJ",,,,
,"2020-10-10 10:55","2020-10-10 14:07","LTFM","EDDF",,,"DLH1299","A320","DAIUE",,,,
,"2020-10-10 02:25","2020-10-10 14:08","RJAA","EDDF",,,"JAL407","B789","JA867J",,,,
,"2020-10-10 12:40","2020-10-10 14:08","LIPE","EDDF",,,"DLH3EP","A320","DAIZZ",,,,
,"2020-10-10 12:35","2020-10-10 14:09","LIRQ","EDDF",,,"DLA15JS","E195","IADJV",,,,
,"2020-10-10 08:25","2020-10-10 14:10","OERK","EDDF",,,"SVA929","B744","TCACM",,,,
,"2020-10-10 12:25","2020-10-10 14:11","ESGG","EDDF",,,"DLH5KY","A320","DAIUG",,,,
,"2020-10-10 12:45","2020-10-10 14:13","EGLL","EDDF",,,"BAW908N","A20N","GTTNH",,,,
,"2020-10-10 09:50","2020-10-10 14:14","GCTS","EDDF",,,"RYR63AV","B738","EIGXG",,,,
,"2020-10-10 13:00","2020-10-10 14:14","EDDM","EDDF",,,"DLH111","A321","DAIRM",,,,
,"2020-10-10 11:45","2020-10-10 14:15","LEMD","EDDF",,,"DLH56C","A321","DAISR",,,,
,"2020-10-10 12:28","2020-10-10 14:17","LEBB","EDDF",,,"DLH41J","A20N","DAINT",,,,
,"2020-10-10 12:50","2020-10-10 14:17","EPPO","EDDF",,,"DLH4YC","CRJ9","DACNB",,,,
,"2020-10-10 13:24","2020-10-10 14:21","EDDW","EDDF",,,"DLH357","CRJ9","DACKA",,,,
,"2020-10-10 11:45","2020-10-10 14:23","LPPR","EDDF",,,"DLH38H","A321","DAISV",,,,
,"2020-10-10 13:35","2020-10-10 14:25","LSZH","EDDF",,,"SWR1074","E190","HBJVL",,,,
,"2020-10-10 12:10","2020-10-10 14:26","LEPA","EDDF",,,"RYR5WW","B738","EIDYO",,,,
,"2020-10-10 12:15","2020-10-10 14:27","LEST","EDDF",,,"DLH1111","A321","DAISB",,,,
,"2020-10-10 02:55","2020-10-10 14:28","SBGR","EDDF",,,"TAM8070","B77W","PTMUC",,,,
,"2020-10-10 12:55","2020-10-10 14:29","LDSP","EDDF",,,"CTN412","A320","9ACTK",,,,
,"2020-10-10 12:55","2020-10-10 14:30","LHBP","EDDF",,,"WZZ2KH","A21N","HALVC",,,,
,"2020-10-10 11:15","2020-10-10 14:31","LTFJ","EDDF",,,"PGT1FW","B738","TCAZP",,,,
,"2020-10-10 13:10","2020-10-10 14:33","LFPG","EDDF",,,"AFR32ZC","E190","FHBLM",,,,
,"2020-10-10 13:10","2020-10-10 14:34","LIMC","EDDF",,,"DLH6NF","CRJ9","DACND",,,,
,"2020-10-10 07:40","2020-10-10 14:35","OMDW","EDDF",,,"UAE9933","B77L","A6EFG",,,,
,"2020-10-10 12:35","2020-10-10 14:35","ESSA","EDDF",,,"SAS61Z","A20N","SERON",,,,
,"2020-10-10 06:45","2020-10-10 14:37","KORD","EDDF",,,"GEC8189","MD11","DALCD",,,,
,"2020-10-10 11:27","2020-10-10 14:37","LPPT","EDDF",,,"DLH71A","A321","DAIDL",,,,
,"2020-10-10 12:50","2020-10-10 14:39","LHBP","EDDF",,,"DLH4UT","A321","DAIRR",,,,
,"2020-10-10 13:20","2020-10-10 14:40","EKCH","EDDF",,,"DLH829","A319","DAILF",,,,
,"2020-10-10 13:10","2020-10-10 14:40","LOWW","EDDF",,,"AUA13A","A320","OELXC",,,,
,"2020-10-10 03:55","2020-10-10 14:42","KPHX","EDDF",,,"CFG027","B763","DABUC",,,,
,"2020-10-10 12:50","2020-10-10 14:42","LFMN","EDDF",,,"DLH87E","A20N","DAINR",,,,
