"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 14:00","2020-10-10 14:56","EDDF","EDDH",MARUN Y150 TOLGI DCT DLE P605 NOLGO,,"DLH4EF","A321","DAIDI",,,,
,"2020-10-10 14:00","2020-10-10 15:57","EDDF","LEPA",,,"RYR8ZK","B738","EIDYX",,,,
,"2020-10-10 14:00","2020-10-10 15:49","EDDF","LIRN",,,"DLH7LK","A320","DAIWH",,,,
,"2020-10-10 14:05","2020-10-10 15:24","EDDF","LIRQ",,,"DLH3XC","E190","DAECE",,,,
,"2020-10-10 14:00","2020-10-10 16:35","EDDF","LEMD",,,"RYR27PC","B738","EIEBX",,,,
,"2020-10-10 14:00","2020-10-10 15:53","EDDF","ESSB",,,"JET2","FA7X","SEDJL",,,,
,"2020-10-10 14:00","2020-10-10 15:42","EDDF","EGLL",,,"DLH2NE","A321","DAIRY",,,,
,"2020-10-10 14:05","2020-10-10 15:58","EDDF","LEBL",,,"DLH97M","A321","DAISK",,,,
,"2020-10-10 14:10","2020-10-10 15:28","EDDF","EGLC",,,"DLH9WL","E190","DAECH",,,,
,"2020-10-10 14:10","2020-10-10 15:16","EDDF","LIPZ",,,"DLH3LL","A320","DAIQD",,,,
,"2020-10-10 14:05","2020-10-10 16:03","EDDF","ENGM",,,"DLH4PK","A320","DAIWG",,,,
,"2020-10-10 14:10","2020-10-10 15:13","EDDF","LSGG",,,"DLH1YL","A319","DAIBD",,,,
,"2020-10-10 14:05","2020-10-10 16:11","EDDF","ESSA",,,"DLH804","A20N","DAINL",,,,
,"2020-10-10 14:10","2020-10-10 18:01","EDDF","LLBG",,,"GEC8340","MD11","DALCI",,,,
,"2020-10-10 14:15","2020-10-10 15:46","EDDF","LHBP",,,"DLH5AX","E190","DAECF",,,,
,"2020-10-10 14:05","2020-10-10 16:22","EDDF","EIDW",,,"DLH5LE","A21N","DAIEA",,,,
,"2020-10-10 14:10","2020-10-10 16:02","EDDF","LFBD",,,"DLH57W","A320","DAIPP",,,,
,"2020-10-10 14:00","2020-10-10 16:12","EDDF","LEBL",,,"RYR16AC","B738","EIDLR",,,,
,"2020-10-10 14:25","2020-10-10 15:22","EDDF","LOWI",,,"AUA28F","DH8D","OELGN",,,,
